,TOKEN,NE-COARSE-LIT,sent_id
20,AUSTRALIA,B-LOC,1
21,AND,O,1
22,NEW,B-LOC,1
23,ZEALAND,I-LOC,1
24,.,O,1
25,NOTICE,O,1
26,.,O,1
27,—,O,1
28,The,O,1
29,dipper,O,1
30,ships,O,1
31,of,O,1
32,this,O,1
33,line,O,1
34,are,O,1
35,4111101191,O,1
36,i,O,1
37,Me,O,1
38,largest,O,1
39,",",O,1
40,fastest,O,1
41,",",O,1
42,and,O,1
43,handsomest,O,1
44,in,O,1
45,the,O,1
46,world,O,1
47,",",O,1
48,and,O,1
49,are,O,1
50,famous,O,1
51,for,O,1
52,their,O,1
53,unswerving,O,1
54,punctuality,O,1
55,",",O,1
56,the,O,1
57,superior,O,1
58,way,O,1
59,in,O,1
60,which,O,1
61,they,O,1
62,are,O,1
63,officered,O,1
64,and,O,1
65,appointed,O,1
66,",",O,1
67,and,O,1
68,the,O,1
69,celebrity,O,1
70,of,O,1
71,their,O,1
72,passages,O,1
73,",",O,1
74,which,O,1
75,rash,O,1
76,amongst,O,1
77,the,O,1
78,fastest,O,1
79,on,O,1
80,record,O,1
81,.,O,1
82,THE,O,1
83,"""",O,1
84,WHITE,O,1
85,STAR,O,1
86,"""",O,1
87,LINE,O,1
88,OF,O,1
89,British,O,1
90,and,O,1
91,Austratan,O,1
92,Ex-Royal,O,1
93,Mail,O,1
94,Clippers,O,1
95,",",O,1
96,SAIL,O,1
97,from,O,1
98,LIVERPOOL,B-LOC,1
99,for,O,1
100,MELBOURNE,B-LOC,1
101,on,O,1
102,the,O,1
103,Ist,O,1
104,and,O,1
105,20th,O,1
106,I,O,1
107,",",O,1
108,‘,O,1
109,stao,O,1
110,of,O,1
111,every,O,1
112,Month,O,1
113,",",O,1
114,landing,O,1
115,and,O,1
116,forwarding,O,1
117,Passengers,O,1
118,at,O,1
119,through,O,1
120,rates,O,1
121,and,O,1
122,by,O,1
123,steamers,O,1
124,",",O,1
125,to,O,1
126,every,O,1
127,port,O,1
128,of,O,1
129,Australia,B-LOC,1
130,and,O,1
131,Tasmania,B-LOC,1
132,.,O,1
133,Parties,O,1
134,holding,O,1
135,Bounty,O,1
136,tickets,O,1
137,for,O,1
138,Launceston,B-LOC,1
139,or,O,1
140,Hobart,B-LOC,1
141,Town,I-LOC,1
142,will,O,1
143,be,O,1
144,carried,O,1
145,out,O,1
146,by,O,1
147,the,O,1
148,ships,O,1
149,of,O,1
150,this,O,1
151,Line,O,1
152,via,O,1
153,Melbourne,B-LOC,1
154,.,O,1
155,The,O,1
156,Lice,O,1
157,is,O,1
158,composed,O,1
159,of,O,1
160,the,O,1
161,following,O,1
162,magnificent,O,1
163,•,O,1
164,vessels,O,1
165,Ship,O,1
166,Ship,O,1
167,Ship,O,1
168,Morning,O,1
169,Light,O,1
170,.,O,1
171,Prinre,O,1
172,of,O,1
173,the,O,1
174,Seas,O,1
175,.,O,1
176,Sirocco,O,1
177,.,O,1
178,Red,O,1
179,Jacket,O,1
180,.,O,1
181,White,O,1
182,Jacket,O,1
183,.,O,1
184,Star,O,1
185,of,O,1
186,the,O,1
187,East,O,1
188,.,O,1
189,White,O,1
190,star,O,1
191,.,O,1
192,Mermaid,O,1
193,.,O,1
194,Telegraph,O,1
195,Blue,O,1
196,Jaci,O,1
197,",",O,1
198,et,O,1
199,.,O,1
200,Shalimar,O,1
201,.,O,1
202,Arabian,O,1
203,.,O,1
224,DORSET,B-LOC,2
225,COUNTY,O,2
226,CHRONICLE,O,2
227,AND,O,2
228,SOMERSETSHIRE,B-LOC,2
229,GAZETTE,O,2
230,.,O,2
231,[,O,2
232,Supplement—June,O,2
233,"27,1861",O,2
234,.,O,2
235,whatever,O,2
236,eccentric,O,2
237,turns,O,2
238,the,O,2
239,Italian,O,2
240,wheel,O,2
241,of,O,2
242,fortune,O,2
243,may,O,2
244,take,O,2
245,iu,O,2
246,making,O,2
247,or,O,2
248,marring,O,2
249,the,O,2
250,destinies,O,2
251,of,O,2
252,that,O,2
253,singularly,O,2
254,unhappy,O,2
255,country,O,2
256,.,O,2
257,Liberalism,O,2
258,is,O,2
259,a,O,2
260,creature,O,2
261,that,O,2
262,can,O,2
263,accommodate,O,2
264,itself,O,2
265,to,O,2
266,any,O,2
267,clime,O,2
268,or,O,2
269,country,O,2
270,;,O,2
271,it,O,2
272,can,O,2
273,lead,O,2
274,intense,O,2
275,dissatisfaction,O,2
276,into,O,2
277,the,O,2
278,heart,O,2
279,of,O,2
280,every,O,2
281,Hungarian,O,2
282,democrat,O,2
283,j,O,2
284,it,O,2
285,can,O,2
286,“,O,2
287,put,O,2
288,up,O,2
289,”,O,2
290,M,O,2
291,.,O,2
292,Deal,O,2
293,:,O,2
294,and,O,2
295,his,O,2
296,followers,O,2
297,to,O,2
298,all,O,2
299,sorts,O,2
300,of,O,2
301,democratic,O,2
302,dodges,O,2
303,;,O,2
304,it,O,2
305,can,O,2
306,oppose,O,2
307,itself,O,2
308,to,O,2
309,the,O,2
310,best,O,2
311,principles,O,2
312,of,O,2
313,the,O,2
314,Imperial,O,2
315,policy,O,2
316,of,O,2
317,Francis,O,2
318,Joseph,O,2
319,",",O,2
320,and,O,2
321,it,O,2
322,can,O,2
323,afford,O,2
324,food,O,2
325,to,O,2
326,feed,O,2
327,the,O,2
328,hungry,O,2
329,",",O,2
330,revolutionary,O,2
331,appetites,O,2
332,of,O,2
333,the,O,2
334,liberal,O,2
335,press,O,2
336,throughout,O,2
337,the,O,2
338,world,O,2
